,Nbits,Algorithm,Filename,Ratio
3826,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/50words.dat,24.55
3827,8,Simple8B,/colmajor/uint8-as-uint32/ucr/50words.dat,24.12
3825,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/50words.dat,24.25
3753,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Adiac.dat,25.2
3754,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Adiac.dat,25.21
3755,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Adiac.dat,25.75
3720,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ArrowHead.dat,25.24
3722,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ArrowHead.dat,26.48
3721,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ArrowHead.dat,25.27
3642,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Beef.dat,25.06
3643,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Beef.dat,25.11
3644,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Beef.dat,26.21
3737,8,Simple8B,/colmajor/uint8-as-uint32/ucr/BeetleFly.dat,26.85
3736,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/BeetleFly.dat,25.31
3735,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/BeetleFly.dat,25.29
3700,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/BirdChicken.dat,25.36
3699,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/BirdChicken.dat,25.32
3701,8,Simple8B,/colmajor/uint8-as-uint32/ucr/BirdChicken.dat,27.19
3702,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/CBF.dat,25.2
3703,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/CBF.dat,25.21
3704,8,Simple8B,/colmajor/uint8-as-uint32/ucr/CBF.dat,27.17
3723,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Car.dat,25.11
3725,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Car.dat,26.29
3724,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Car.dat,25.24
3690,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/ChlorineConcentration.dat,25.19
3692,8,Simple8B,/colmajor/uint8-as-uint32/ucr/ChlorineConcentration.dat,27.71
3691,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/ChlorineConcentration.dat,25.2
3711,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/CinC_ECG_torso.dat,23.72
3712,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/CinC_ECG_torso.dat,23.97
3713,8,Simple8B,/colmajor/uint8-as-uint32/ucr/CinC_ECG_torso.dat,26.01
3610,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Coffee.dat,25.38
3611,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Coffee.dat,26.16
3609,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Coffee.dat,25.22
3741,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Computers.dat,17.92
3743,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Computers.dat,17.83
3742,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Computers.dat,17.94
3816,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Cricket_X.dat,22.77
3818,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Cricket_X.dat,24.75
3817,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Cricket_X.dat,22.23
3807,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Cricket_Y.dat,25.21
3808,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Cricket_Y.dat,25.21
3809,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Cricket_Y.dat,28.44
3820,8,FastPFOR,/colmajor/uint8-as-uint32/ucr/Cricket_Z.dat,22.21
3821,8,Simple8B,/colmajor/uint8-as-uint32/ucr/Cricket_Z.dat,24.45
3819,8,SIMDBP128,/colmajor/uint8-as-uint32/ucr/Cricket_Z.dat,22.69
