Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
Memcpy,96957832,8156.85,pamap,8410.41,False,/colmajor/uint8/pamap/pamap.dat,-1,0,8,f,96957832,100.0
LZ4,22370835,825.61,pamap,2026.11,False,/colmajor/uint8/pamap/pamap.dat,-1,0,8,f,96957832,23.07
Zstd -1,13427604,468.29,pamap,865.95,False,/colmajor/uint8/pamap/pamap.dat,-1,0,8,f,96957832,13.85
Zstd -9,11630024,67.74,pamap,998.94,False,/colmajor/uint8/pamap/pamap.dat,-1,0,8,f,96957832,11.99
Memcpy,96957832,8407.87,pamap,8478.57,False,/rowmajor/uint8/pamap/pamap.dat,-1,0,8,c,96957832,100.0
Delta -31,17267248,490.81,pamap,3132.94,False,/rowmajor/uint8/pamap/pamap.dat,-1,0,8,c,96957832,17.81
Memcpy,96957832,3341.82,pamap,2180.65,True,/colmajor/uint8/pamap/pamap.dat,-1,0,8,f,96957832,100.0
LZ4,22014045,775.9,pamap,1239.01,True,/colmajor/uint8/pamap/pamap.dat,-1,0,8,f,96957832,22.7
Zstd -1,12289665,427.08,pamap,652.18,True,/colmajor/uint8/pamap/pamap.dat,-1,0,8,f,96957832,12.68
Zstd -9,11094135,68.36,pamap,744.47,True,/colmajor/uint8/pamap/pamap.dat,-1,0,8,f,96957832,11.44
Memcpy,193915664,7707.77,pamap,7493.25,False,/colmajor/uint16/pamap/pamap.dat,-1,2,16,f,193915664,100.0
LZ4,104165427,572.35,pamap,2351.22,False,/colmajor/uint16/pamap/pamap.dat,-1,2,16,f,193915664,53.72
Zstd -1,82337617,326.74,pamap,692.95,False,/colmajor/uint16/pamap/pamap.dat,-1,2,16,f,193915664,42.46
Zstd -9,66833751,23.85,pamap,575.54,False,/colmajor/uint16/pamap/pamap.dat,-1,2,16,f,193915664,34.47
Memcpy,193915664,3089.22,pamap,2988.24,True,/colmajor/uint16/pamap/pamap.dat,-1,2,16,f,193915664,100.0
LZ4,97289205,446.04,pamap,1543.08,True,/colmajor/uint16/pamap/pamap.dat,-1,2,16,f,193915664,50.17
Zstd -1,68273589,290.76,pamap,641.36,True,/colmajor/uint16/pamap/pamap.dat,-1,2,16,f,193915664,35.21
Zstd -9,60751354,23.08,pamap,519.67,True,/colmajor/uint16/pamap/pamap.dat,-1,2,16,f,193915664,31.33
Memcpy,113613280,3411.82,msrc,3257.89,True,/colmajor/uint16/msrc/msrc.dat,-1,2,16,f,113613280,100.0
