Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
Memcpy,248870,24877.05,ucr,24887.0,False,/colmajor/uint8/ucr/50words.dat,-1,0,8,f,248870,100.0
DeltaRLE_HUF,89770,309.47,ucr,423.04,False,/colmajor/uint8/ucr/50words.dat,-1,0,8,f,248870,36.07
DeltaRLE_HUF,57122,180.78,ucr,260.07,False,/colmajor/uint8/ucr/Adiac.dat,-1,0,8,f,141356,40.41
DeltaRLE_HUF,25630,148.31,ucr,245.62,False,/colmajor/uint8/ucr/ArrowHead.dat,-1,0,8,f,54011,47.45
DeltaRLE_HUF,9924,137.26,ucr,280.55,False,/colmajor/uint8/ucr/Beef.dat,-1,0,8,f,28495,34.83
DeltaRLE_HUF,10283,124.56,ucr,202.99,False,/colmajor/uint8/ucr/BeetleFly.dat,-1,0,8,f,20675,49.74
DeltaRLE_HUF,8383,139.81,ucr,246.52,False,/colmajor/uint8/ucr/BirdChicken.dat,-1,0,8,f,20675,40.55
DeltaRLE_HUF,22863,165.91,ucr,360.87,False,/colmajor/uint8/ucr/Car.dat,-1,0,8,f,69835,32.74
DeltaRLE_HUF,107761,140.4,ucr,194.2,False,/colmajor/uint8/ucr/CBF.dat,-1,0,8,f,123685,87.13
DeltaRLE_HUF,458075,242.11,ucr,409.4,False,/colmajor/uint8/ucr/ChlorineConcentration.dat,-1,0,8,f,736492,62.2
DeltaRLE_HUF,380243,405.17,ucr,890.15,False,/colmajor/uint8/ucr/CinC_ECG_torso.dat,-1,0,8,f,2334475,16.29
DeltaRLE_HUF,8775,205.47,ucr,380.19,False,/colmajor/uint8/ucr/Coffee.dat,-1,0,8,f,16291,53.86
DeltaRLE_HUF,78554,300.08,ucr,436.01,False,/colmajor/uint8/ucr/Computers.dat,-1,0,8,f,362495,21.67
DeltaRLE_HUF,113054,172.08,ucr,285.42,False,/colmajor/uint8/ucr/Cricket_X.dat,-1,0,8,f,237895,47.52
DeltaRLE_HUF,112634,171.09,ucr,292.22,False,/colmajor/uint8/ucr/Cricket_Y.dat,-1,0,8,f,237895,47.35
DeltaRLE_HUF,113365,171.49,ucr,319.1,False,/colmajor/uint8/ucr/Cricket_Z.dat,-1,0,8,f,237895,47.65
DeltaRLE_HUF,38728,175.91,ucr,291.8,False,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,0,8,f,112695,34.37
DeltaRLE_HUF,30430,144.12,ucr,240.8,False,/colmajor/uint8/ucr/DistalPhalanxOutlineAgeGroup.dat,-1,0,8,f,45810,66.43
DeltaRLE_HUF,48441,139.25,ucr,259.33,False,/colmajor/uint8/ucr/DistalPhalanxOutlineCorrect.dat,-1,0,8,f,74455,65.06
DeltaRLE_HUF,30324,103.95,ucr,236.89,False,/colmajor/uint8/ucr/DistalPhalanxTW.dat,-1,0,8,f,45810,66.2
DeltaRLE_HUF,105795,137.69,ucr,250.49,False,/colmajor/uint8/ucr/Earthquakes.dat,-1,0,8,f,238332,44.39
DeltaRLE_HUF,13964,122.54,ucr,208.44,False,/colmajor/uint8/ucr/ECG200.dat,-1,0,8,f,20195,69.15
DeltaRLE_HUF,344048,176.69,ucr,484.5,False,/colmajor/uint8/ucr/ECG5000.dat,-1,0,8,f,724995,47.46
DeltaRLE_HUF,53494,256.03,ucr,403.73,False,/colmajor/uint8/ucr/ECGFiveDays.dat,-1,0,8,f,124639,42.92
DeltaRLE_HUF,680988,288.05,ucr,519.38,False,/colmajor/uint8/ucr/ElectricDevices.dat,-1,0,8,f,1680332,40.53
DeltaRLE_HUF,206412,232.77,ucr,261.38,False,/colmajor/uint8/ucr/FaceAll.dat,-1,0,8,f,305995,67.46
DeltaRLE_HUF,21396,128.07,ucr,240.67,False,/colmajor/uint8/ucr/FaceFour.dat,-1,0,8,f,39755,53.82
DeltaRLE_HUF,207316,156.42,ucr,257.81,False,/colmajor/uint8/ucr/FacesUCR.dat,-1,0,8,f,305995,67.75
DeltaRLE_HUF,27172,191.18,ucr,413.33,False,/colmajor/uint8/ucr/FISH.dat,-1,0,8,f,163795,16.59
DeltaRLE_HUF,1565377,280.51,ucr,460.79,False,/colmajor/uint8/ucr/FordA.dat,-1,0,8,f,2485100,62.99
DeltaRLE_HUF,1402111,289.48,ucr,452.88,False,/colmajor/uint8/ucr/FordB.dat,-1,0,8,f,2245225,62.45
DeltaRLE_HUF,10617,202.37,ucr,397.65,False,/colmajor/uint8/ucr/Gun_Point.dat,-1,0,8,f,30995,34.25
DeltaRLE_HUF,39828,236.44,ucr,388.52,False,/colmajor/uint8/ucr/Ham.dat,-1,0,8,f,93299,42.69
DeltaRLE_HUF,502284,374.81,ucr,640.98,False,/colmajor/uint8/ucr/HandOutlines.dat,-1,0,8,f,3718175,13.51
DeltaRLE_HUF,81908,280.11,ucr,631.44,False,/colmajor/uint8/ucr/Haptics.dat,-1,0,8,f,507906,16.13
DeltaRLE_HUF,24619,251.86,ucr,472.82,False,/colmajor/uint8/ucr/Herring.dat,-1,0,8,f,66171,37.21
DeltaRLE_HUF,307538,238.21,ucr,632.22,False,/colmajor/uint8/ucr/InlineSkate.dat,-1,0,8,f,1226545,25.07
DeltaRLE_HUF,217091,271.33,ucr,532.29,False,/colmajor/uint8/ucr/InsectWingbeatSound.dat,-1,0,8,f,574195,37.81
DeltaRLE_HUF,26516,179.89,ucr,284.84,False,/colmajor/uint8/ucr/ItalyPowerDemand.dat,-1,0,8,f,31779,83.44
DeltaRLE_HUF,35750,492.68,ucr,2067.35,False,/colmajor/uint8/ucr/LargeKitchenAppliances.dat,-1,0,8,f,543745,6.57
DeltaRLE_HUF,24838,269.46,ucr,506.94,False,/colmajor/uint8/ucr/Lighting2.dat,-1,0,8,f,77677,31.98
DeltaRLE_HUF,18749,241.47,ucr,454.3,False,/colmajor/uint8/ucr/Lighting7.dat,-1,0,8,f,46327,40.47
DeltaRLE_HUF,786762,314.88,ucr,822.69,False,/colmajor/uint8/ucr/MALLAT.dat,-1,0,8,f,2469595,31.86
DeltaRLE_HUF,16752,324.48,ucr,198.36,False,/colmajor/uint8/ucr/Meat.dat,-1,0,8,f,54355,30.82
DeltaRLE_HUF,47706,167.23,ucr,335.15,False,/colmajor/uint8/ucr/MedicalImages.dat,-1,0,8,f,118659,40.2
DeltaRLE_HUF,31558,143.71,ucr,233.42,False,/colmajor/uint8/ucr/MiddlePhalanxOutlineAgeGroup.dat,-1,0,8,f,47085,67.02
DeltaRLE_HUF,50500,137.59,ucr,247.26,False,/colmajor/uint8/ucr/MiddlePhalanxOutlineCorrect.dat,-1,0,8,f,75730,66.68
DeltaRLE_HUF,31449,142.22,ucr,238.0,False,/colmajor/uint8/ucr/MiddlePhalanxTW.dat,-1,0,8,f,47000,66.91
DeltaRLE_HUF,50267,164.81,ucr,263.88,False,/colmajor/uint8/ucr/MoteStrain.dat,-1,0,8,f,113203,44.4
DeltaRLE_HUF,751628,332.14,ucr,646.17,False,/colmajor/uint8/ucr/NonInvasiveFatalECG_Thorax1.dat,-1,0,8,f,2842570,26.44
DeltaRLE_HUF,694294,331.13,ucr,663.39,False,/colmajor/uint8/ucr/NonInvasiveFatalECG_Thorax2.dat,-1,0,8,f,2842570,24.42
DeltaRLE_HUF,11843,207.42,ucr,145.78,False,/colmajor/uint8/ucr/OliveOil.dat,-1,0,8,f,34495,34.33
DeltaRLE_HUF,83054,168.62,ucr,288.19,False,/colmajor/uint8/ucr/OSULeaf.dat,-1,0,8,f,190939,43.5
DeltaRLE_HUF,141236,160.0,ucr,247.86,False,/colmajor/uint8/ucr/PhalangesOutlinesCorrect.dat,-1,0,8,f,225925,62.51
DeltaRLE_HUF,1003341,286.68,ucr,641.86,False,/colmajor/uint8/ucr/Phoneme.dat,-1,0,8,f,2171185,46.21
DeltaRLE_HUF,19681,246.04,ucr,306.94,False,/colmajor/uint8/ucr/Plane.dat,-1,0,8,f,31285,62.91
DeltaRLE_HUF,33823,217.76,ucr,357.51,False,/colmajor/uint8/ucr/ProximalPhalanxOutlineAgeGroup.dat,-1,0,8,f,51420,65.78
DeltaRLE_HUF,48435,226.71,ucr,382.59,False,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,0,8,f,75730,63.96
DeltaRLE_HUF,33742,215.23,ucr,340.13,False,/colmajor/uint8/ucr/ProximalPhalanxTW.dat,-1,0,8,f,51420,65.62
DeltaRLE_HUF,222547,238.79,ucr,461.33,False,/colmajor/uint8/ucr/RefrigerationDevices.dat,-1,0,8,f,543745,40.93
DeltaRLE_HUF,97098,351.96,ucr,852.61,False,/colmajor/uint8/ucr/ScreenType.dat,-1,0,8,f,543745,17.86
DeltaRLE_HUF,103253,168.85,ucr,239.87,False,/colmajor/uint8/ucr/ShapeletSim.dat,-1,0,8,f,100995,102.24
DeltaRLE_HUF,231295,278.34,ucr,540.43,False,/colmajor/uint8/ucr/ShapesAll.dat,-1,0,8,f,620395,37.28
DeltaRLE_HUF,40417,288.36,ucr,1018.04,False,/colmajor/uint8/ucr/SmallKitchenAppliances.dat,-1,0,8,f,543745,7.43
DeltaRLE_HUF,35395,124.91,ucr,210.73,False,/colmajor/uint8/ucr/SonyAIBORobotSurface.dat,-1,0,8,f,46570,76.0
DeltaRLE_HUF,53746,125.88,ucr,153.45,False,/colmajor/uint8/ucr/SonyAIBORobotSurfaceII.dat,-1,0,8,f,68595,78.35
DeltaRLE_HUF,1406645,418.33,ucr,973.03,False,/colmajor/uint8/ucr/StarLightCurves.dat,-1,0,8,f,9503839,14.8
DeltaRLE_HUF,96095,345.13,ucr,537.94,False,/colmajor/uint8/ucr/Strawberry.dat,-1,0,8,f,235915,40.73
DeltaRLE_HUF,89206,251.47,ucr,450.45,False,/colmajor/uint8/ucr/SwedishLeaf.dat,-1,0,8,f,149620,59.62
DeltaRLE_HUF,126197,281.47,ucr,578.12,False,/colmajor/uint8/ucr/Symbols.dat,-1,0,8,f,411055,30.7
DeltaRLE_HUF,37271,184.78,ucr,258.11,False,/colmajor/uint8/ucr/synthetic_control.dat,-1,0,8,f,38995,95.58
