Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Preprocs,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
Memcpy,450780,22260.74,ucr,22211.38,None,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,-1,5,8,f,450780,100.0
SIMDBP128,113624,6005.04,ucr,16681.35,None,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,-1,5,8,f,450780,25.21
FastPFOR,113648,1583.07,ucr,14674.31,None,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,-1,5,8,f,450780,25.21
Simple8B,114876,2373.79,ucr,6820.08,None,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,-1,5,8,f,450780,25.48
SIMDBP128,114140,7238.62,ucr,15729.74,None,/colmajor/uint8-as-uint32/ucr/MoteStrain.dat,-1,5,8,f,452812,25.21
FastPFOR,114152,1793.55,ucr,18993.79,None,/colmajor/uint8-as-uint32/ucr/MoteStrain.dat,-1,5,8,f,452812,25.21
Simple8B,123668,1840.72,ucr,5525.53,None,/colmajor/uint8-as-uint32/ucr/MoteStrain.dat,-1,5,8,f,452812,27.31
SIMDBP128,1003640,10570.27,ucr,15346.16,None,/colmajor/uint8-as-uint32/ucr/wafer.dat,-1,5,8,f,4498972,22.31
FastPFOR,989988,1928.07,ucr,13127.48,None,/colmajor/uint8-as-uint32/ucr/wafer.dat,-1,5,8,f,4498972,22.0
Simple8B,983132,2960.78,ucr,6069.58,None,/colmajor/uint8-as-uint32/ucr/wafer.dat,-1,5,8,f,4498972,21.85
SIMDBP128,231984,16378.88,ucr,19673.91,None,/colmajor/uint8-as-uint32/ucr/Worms.dat,-1,5,8,f,933940,24.84
FastPFOR,233616,2090.21,ucr,17415.48,None,/colmajor/uint8-as-uint32/ucr/Worms.dat,-1,5,8,f,933940,25.01
Simple8B,251780,2684.7,ucr,5629.33,None,/colmajor/uint8-as-uint32/ucr/Worms.dat,-1,5,8,f,933940,26.96
SIMDBP128,76372,13247.04,ucr,18458.35,None,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,8,f,302920,25.21
FastPFOR,76436,1904.29,ucr,14424.08,None,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,8,f,302920,25.23
Simple8B,78036,2056.13,ucr,5991.06,None,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,8,f,302920,25.76
SIMDBP128,31572,4944.49,ucr,6266.4,None,/colmajor/uint8-as-uint32/ucr/Plane.dat,-1,5,8,f,125140,25.23
FastPFOR,31568,1787.59,ucr,5993.58,None,/colmajor/uint8-as-uint32/ucr/Plane.dat,-1,5,8,f,125140,25.23
Simple8B,33108,904.9,ucr,3715.45,None,/colmajor/uint8-as-uint32/ucr/Plane.dat,-1,5,8,f,125140,26.46
SIMDBP128,75100,4921.42,ucr,7963.1,None,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,-1,5,8,f,297820,25.22
FastPFOR,75160,1640.57,ucr,11545.2,None,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,-1,5,8,f,297820,25.24
Simple8B,78892,1776.26,ucr,6554.28,None,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,-1,5,8,f,297820,26.49
SIMDBP128,76232,13560.81,ucr,14946.8,None,/colmajor/uint8-as-uint32/ucr/ToeSegmentation1.dat,-1,5,8,f,302284,25.22
FastPFOR,76256,1486.94,ucr,7380.34,None,/colmajor/uint8-as-uint32/ucr/ToeSegmentation1.dat,-1,5,8,f,302284,25.23
Simple8B,85572,1351.38,ucr,3188.58,None,/colmajor/uint8-as-uint32/ucr/ToeSegmentation1.dat,-1,5,8,f,302284,28.31
SIMDBP128,241984,5931.02,ucr,6549.12,None,/colmajor/uint8-as-uint32/ucr/WordsSynonyms.dat,-1,5,8,f,995480,24.31
FastPFOR,244608,874.79,ucr,6412.77,None,/colmajor/uint8-as-uint32/ucr/WordsSynonyms.dat,-1,5,8,f,995480,24.57
