Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,450780,7745.36,ucr,5152.71,/colmajor/uint16-as-uint32/ucr/DiatomSizeReduction.dat,10,0,16,f,450780,None,100.0
SIMDBP128,227576,4555.91,ucr,10414.71,/colmajor/uint16-as-uint32/ucr/DiatomSizeReduction.dat,10,0,16,f,450780,None,50.48
FastPFOR,227560,1923.25,ucr,6538.35,/colmajor/uint16-as-uint32/ucr/DiatomSizeReduction.dat,10,0,16,f,450780,None,50.48
Simple8B,258452,1313.08,ucr,3077.73,/colmajor/uint16-as-uint32/ucr/DiatomSizeReduction.dat,10,0,16,f,450780,None,57.33
SIMDBP128,228604,10358.99,ucr,11031.82,/colmajor/uint16-as-uint32/ucr/MoteStrain.dat,10,0,16,f,452812,None,50.49
FastPFOR,228600,1301.03,ucr,4137.46,/colmajor/uint16-as-uint32/ucr/MoteStrain.dat,10,0,16,f,452812,None,50.48
Simple8B,270156,1168.59,ucr,2794.91,/colmajor/uint16-as-uint32/ucr/MoteStrain.dat,10,0,16,f,452812,None,59.66
SIMDBP128,2141040,7710.52,ucr,8686.72,/colmajor/uint16-as-uint32/ucr/wafer.dat,10,0,16,f,4498972,None,47.59
FastPFOR,2126380,1062.44,ucr,6036.95,/colmajor/uint16-as-uint32/ucr/wafer.dat,10,0,16,f,4498972,None,47.26
Simple8B,2255152,1583.03,ucr,2828.12,/colmajor/uint16-as-uint32/ucr/wafer.dat,10,0,16,f,4498972,None,50.13
SIMDBP128,468088,4158.81,ucr,5530.43,/colmajor/uint16-as-uint32/ucr/Worms.dat,10,0,16,f,933940,None,50.12
FastPFOR,469476,1048.09,ucr,6544.0,/colmajor/uint16-as-uint32/ucr/Worms.dat,10,0,16,f,933940,None,50.27
Simple8B,549544,1204.37,ucr,3228.78,/colmajor/uint16-as-uint32/ucr/Worms.dat,10,0,16,f,933940,None,58.84
SIMDBP128,152936,6031.5,ucr,9066.75,/colmajor/uint16-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,10,0,16,f,302920,None,50.49
FastPFOR,153000,1981.27,ucr,5327.28,/colmajor/uint16-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,10,0,16,f,302920,None,50.51
Simple8B,172592,1324.78,ucr,3396.19,/colmajor/uint16-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,10,0,16,f,302920,None,56.98
SIMDBP128,63216,9234.06,ucr,7818.32,/colmajor/uint16-as-uint32/ucr/Plane.dat,10,0,16,f,125140,None,50.52
FastPFOR,63212,2046.01,ucr,2475.42,/colmajor/uint16-as-uint32/ucr/Plane.dat,10,0,16,f,125140,None,50.51
Simple8B,71172,1257.27,ucr,2949.88,/colmajor/uint16-as-uint32/ucr/Plane.dat,10,0,16,f,125140,None,56.87
SIMDBP128,150392,5306.65,ucr,6180.25,/colmajor/uint16-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,10,0,16,f,297820,None,50.5
FastPFOR,150428,997.82,ucr,4009.15,/colmajor/uint16-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,10,0,16,f,297820,None,50.51
Simple8B,172056,705.49,ucr,1406.08,/colmajor/uint16-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,10,0,16,f,297820,None,57.77
SIMDBP128,152620,8215.13,ucr,7788.42,/colmajor/uint16-as-uint32/ucr/ToeSegmentation1.dat,10,0,16,f,302284,None,50.49
FastPFOR,152624,1432.19,ucr,5110.38,/colmajor/uint16-as-uint32/ucr/ToeSegmentation1.dat,10,0,16,f,302284,None,50.49
Simple8B,196792,961.13,ucr,1327.04,/colmajor/uint16-as-uint32/ucr/ToeSegmentation1.dat,10,0,16,f,302284,None,65.1
SIMDBP128,493692,8850.21,ucr,7712.42,/colmajor/uint16-as-uint32/ucr/WordsSynonyms.dat,10,0,16,f,995480,None,49.59
FastPFOR,495852,1144.11,ucr,7623.99,/colmajor/uint16-as-uint32/ucr/WordsSynonyms.dat,10,0,16,f,995480,None,49.81
Simple8B,519288,1712.63,ucr,4218.23,/colmajor/uint16-as-uint32/ucr/WordsSynonyms.dat,10,0,16,f,995480,None,52.16
SIMDBP128,3391700,8219.67,ucr,6536.23,/colmajor/uint16-as-uint32/ucr/ElectricDevices.dat,10,0,16,f,6721328,None,50.46
FastPFOR,3350336,1528.24,ucr,7202.08,/colmajor/uint16-as-uint32/ucr/ElectricDevices.dat,10,0,16,f,6721328,None,49.85
Simple8B,3855380,1272.83,ucr,2959.92,/colmajor/uint16-as-uint32/ucr/ElectricDevices.dat,10,0,16,f,6721328,None,57.36
SIMDBP128,32904,5987.14,ucr,7342.42,/colmajor/uint16-as-uint32/ucr/Coffee.dat,10,0,16,f,65164,None,50.49
FastPFOR,33024,1651.6,ucr,7460.1,/colmajor/uint16-as-uint32/ucr/Coffee.dat,10,0,16,f,65164,None,50.68
Simple8B,38684,1111.41,ucr,2704.35,/colmajor/uint16-as-uint32/ucr/Coffee.dat,10,0,16,f,65164,None,59.36
SIMDBP128,116108,3724.6,ucr,10655.41,/colmajor/uint16-as-uint32/ucr/ToeSegmentation2.dat,10,0,16,f,231052,None,50.25
FastPFOR,116220,1242.7,ucr,6215.25,/colmajor/uint16-as-uint32/ucr/ToeSegmentation2.dat,10,0,16,f,231052,None,50.3
Simple8B,122804,1308.35,ucr,3088.19,/colmajor/uint16-as-uint32/ucr/ToeSegmentation2.dat,10,0,16,f,231052,None,53.15
SIMDBP128,1025352,8231.5,ucr,11518.12,/colmajor/uint16-as-uint32/ucr/Haptics.dat,10,0,16,f,2031624,None,50.47
FastPFOR,1025352,1856.98,ucr,6784.27,/colmajor/uint16-as-uint32/ucr/Haptics.dat,10,0,16,f,2031624,None,50.47
Simple8B,1355956,1596.24,ucr,4906.79,/colmajor/uint16-as-uint32/ucr/Haptics.dat,10,0,16,f,2031624,None,66.74
SIMDBP128,18079276,6991.71,ucr,8888.66,/colmajor/uint16-as-uint32/ucr/StarLightCurves.dat,10,0,16,f,38015356,None,47.56
FastPFOR,18260876,1703.83,ucr,6493.53,/colmajor/uint16-as-uint32/ucr/StarLightCurves.dat,10,0,16,f,38015356,None,48.04
Simple8B,19510300,2058.4,ucr,5156.33,/colmajor/uint16-as-uint32/ucr/StarLightCurves.dat,10,0,16,f,38015356,None,51.32
SIMDBP128,997892,9561.32,ucr,11089.03,/colmajor/uint16-as-uint32/ucr/ScreenType.dat,10,0,16,f,2174980,None,45.88
FastPFOR,1002468,1532.3,ucr,8020.64,/colmajor/uint16-as-uint32/ucr/ScreenType.dat,10,0,16,f,2174980,None,46.09
Simple8B,1088564,1642.66,ucr,5604.12,/colmajor/uint16-as-uint32/ucr/ScreenType.dat,10,0,16,f,2174980,None,50.05
SIMDBP128,4909496,8182.51,ucr,8449.08,/colmajor/uint16-as-uint32/ucr/MALLAT.dat,10,0,16,f,9878380,None,49.7
FastPFOR,4949468,1632.43,ucr,6576.75,/colmajor/uint16-as-uint32/ucr/MALLAT.dat,10,0,16,f,9878380,None,50.1
Simple8B,5484180,1820.98,ucr,4526.58,/colmajor/uint16-as-uint32/ucr/MALLAT.dat,10,0,16,f,9878380,None,55.52
SIMDBP128,129964,8125.0,ucr,9226.67,/colmajor/uint16-as-uint32/ucr/Lighting2.dat,10,0,16,f,310708,None,41.83
FastPFOR,128880,1136.69,ucr,5472.43,/colmajor/uint16-as-uint32/ucr/Lighting2.dat,10,0,16,f,310708,None,41.48
Simple8B,133852,968.38,ucr,3342.92,/colmajor/uint16-as-uint32/ucr/Lighting2.dat,10,0,16,f,310708,None,43.08
SIMDBP128,302172,5340.9,ucr,6305.96,/colmajor/uint16-as-uint32/ucr/SwedishLeaf.dat,10,0,16,f,598480,None,50.49
FastPFOR,302172,2402.5,ucr,12659.01,/colmajor/uint16-as-uint32/ucr/SwedishLeaf.dat,10,0,16,f,598480,None,50.49
Simple8B,356212,1424.82,ucr,3771.16,/colmajor/uint16-as-uint32/ucr/SwedishLeaf.dat,10,0,16,f,598480,None,59.52
SIMDBP128,4532668,8410.37,ucr,9088.95,/colmajor/uint16-as-uint32/ucr/FordB.dat,10,0,16,f,8980900,None,50.47
FastPFOR,4532652,2076.01,ucr,8512.73,/colmajor/uint16-as-uint32/ucr/FordB.dat,10,0,16,f,8980900,None,50.47
Simple8B,5570464,1210.37,ucr,2679.81,/colmajor/uint16-as-uint32/ucr/FordB.dat,10,0,16,f,8980900,None,62.03
SIMDBP128,877076,9279.6,ucr,9862.69,/colmajor/uint16-as-uint32/ucr/LargeKitchenAppliances.dat,10,0,16,f,2174980,None,40.33
FastPFOR,860708,1055.58,ucr,5998.87,/colmajor/uint16-as-uint32/ucr/LargeKitchenAppliances.dat,10,0,16,f,2174980,None,39.57
Simple8B,886868,2022.72,ucr,6552.29,/colmajor/uint16-as-uint32/ucr/LargeKitchenAppliances.dat,10,0,16,f,2174980,None,40.78
SIMDBP128,64196,7699.33,ucr,4568.57,/colmajor/uint16-as-uint32/ucr/ItalyPowerDemand.dat,10,0,16,f,127116,None,50.5
FastPFOR,64196,2075.84,ucr,9229.36,/colmajor/uint16-as-uint32/ucr/ItalyPowerDemand.dat,10,0,16,f,127116,None,50.5
Simple8B,74420,1072.66,ucr,2907.24,/colmajor/uint16-as-uint32/ucr/ItalyPowerDemand.dat,10,0,16,f,127116,None,58.54
SIMDBP128,57504,7719.08,ucr,9533.29,/colmajor/uint16-as-uint32/ucr/Beef.dat,10,0,16,f,113980,None,50.45
FastPFOR,57484,1687.87,ucr,10094.77,/colmajor/uint16-as-uint32/ucr/Beef.dat,10,0,16,f,113980,None,50.43
Simple8B,65560,1346.58,ucr,3645.38,/colmajor/uint16-as-uint32/ucr/Beef.dat,10,0,16,f,113980,None,57.52
SIMDBP128,53408,8297.83,ucr,8029.67,/colmajor/uint16-as-uint32/ucr/Wine.dat,10,0,16,f,106096,None,50.34
FastPFOR,53696,1757.02,ucr,7082.51,/colmajor/uint16-as-uint32/ucr/Wine.dat,10,0,16,f,106096,None,50.61
Simple8B,56796,1341.92,ucr,3826.45,/colmajor/uint16-as-uint32/ucr/Wine.dat,10,0,16,f,106096,None,53.53
SIMDBP128,1001316,6949.99,ucr,8422.81,/colmajor/uint16-as-uint32/ucr/SmallKitchenAppliances.dat,10,0,16,f,2174980,None,46.04
FastPFOR,968624,1269.19,ucr,7875.88,/colmajor/uint16-as-uint32/ucr/SmallKitchenAppliances.dat,10,0,16,f,2174980,None,44.53
Simple8B,1091516,2059.19,ucr,4986.91,/colmajor/uint16-as-uint32/ucr/SmallKitchenAppliances.dat,10,0,16,f,2174980,None,50.19
SIMDBP128,616176,11458.56,ucr,10241.05,/colmajor/uint16-as-uint32/ucr/FaceAll.dat,10,0,16,f,1223980,None,50.34
FastPFOR,589916,1167.1,ucr,9961.83,/colmajor/uint16-as-uint32/ucr/FaceAll.dat,10,0,16,f,1223980,None,48.2
Simple8B,627032,2051.98,ucr,4638.55,/colmajor/uint16-as-uint32/ucr/FaceAll.dat,10,0,16,f,1223980,None,51.23
SIMDBP128,105992,4992.31,ucr,5379.02,/colmajor/uint16-as-uint32/ucr/Meat.dat,10,0,16,f,217420,None,48.75
FastPFOR,107428,1262.55,ucr,5368.79,/colmajor/uint16-as-uint32/ucr/Meat.dat,10,0,16,f,217420,None,49.41
Simple8B,112520,1784.94,ucr,4281.94,/colmajor/uint16-as-uint32/ucr/Meat.dat,10,0,16,f,217420,None,51.75
SIMDBP128,5016900,9136.13,ucr,8227.32,/colmajor/uint16-as-uint32/ucr/FordA.dat,10,0,16,f,9940400,None,50.47
FastPFOR,5016908,2583.83,ucr,8954.5,/colmajor/uint16-as-uint32/ucr/FordA.dat,10,0,16,f,9940400,None,50.47
Simple8B,5855428,1375.6,ucr,2178.74,/colmajor/uint16-as-uint32/ucr/FordA.dat,10,0,16,f,9940400,None,58.91
SIMDBP128,1095956,9680.22,ucr,10033.58,/colmajor/uint16-as-uint32/ucr/RefrigerationDevices.dat,10,0,16,f,2174980,None,50.39
