Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,227226560,7550.93,msrc,7236.39,/colmajor/uint8-as-uint32/msrc/msrc.dat,-1,20,8,f,227226560,None,100.0
SIMDBP128,41054560,9938.39,msrc,7792.64,/colmajor/uint8-as-uint32/msrc/msrc.dat,-1,20,8,f,227226560,None,18.07
FastPFOR,41090384,2066.22,msrc,8610.27,/colmajor/uint8-as-uint32/msrc/msrc.dat,-1,20,8,f,227226560,None,18.08
Simple8B,46349932,4672.36,msrc,7269.19,/colmajor/uint8-as-uint32/msrc/msrc.dat,-1,20,8,f,227226560,None,20.4
Memcpy,387831328,4190.08,pamap,5525.61,/colmajor/uint8-as-uint32/pamap/pamap.dat,-1,20,8,f,387831328,None,100.0
SIMDBP128,89497560,9785.42,pamap,7879.58,/colmajor/uint8-as-uint32/pamap/pamap.dat,-1,20,8,f,387831328,None,23.08
FastPFOR,89416844,2133.04,pamap,7797.52,/colmajor/uint8-as-uint32/pamap/pamap.dat,-1,20,8,f,387831328,None,23.06
Simple8B,100810548,4001.73,pamap,7056.8,/colmajor/uint8-as-uint32/pamap/pamap.dat,-1,20,8,f,387831328,None,25.99
Memcpy,603847440,7518.86,uci_gas,7284.2,/colmajor/uint8-as-uint32/uci_gas/uci_gas.dat,-1,20,8,f,603847440,None,100.0
SIMDBP128,104835476,10215.64,uci_gas,7842.13,/colmajor/uint8-as-uint32/uci_gas/uci_gas.dat,-1,20,8,f,603847440,None,17.36
FastPFOR,104703144,2119.1,uci_gas,7885.36,/colmajor/uint8-as-uint32/uci_gas/uci_gas.dat,-1,20,8,f,603847440,None,17.34
Simple8B,115776164,5161.07,uci_gas,7991.27,/colmajor/uint8-as-uint32/uci_gas/uci_gas.dat,-1,20,8,f,603847440,None,19.17
Memcpy,25228860,9214.95,ampd_gas,8870.25,/colmajor/uint8-as-uint32/ampd_gas/ampd_gas.dat,-1,20,8,f,25228860,None,100.0
SIMDBP128,2358400,13302.42,ampd_gas,13508.42,/colmajor/uint8-as-uint32/ampd_gas/ampd_gas.dat,-1,20,8,f,25228860,None,9.35
FastPFOR,1713756,1965.52,ampd_gas,14455.12,/colmajor/uint8-as-uint32/ampd_gas/ampd_gas.dat,-1,20,8,f,25228860,None,6.79
Simple8B,2191932,5331.49,ampd_gas,13394.33,/colmajor/uint8-as-uint32/ampd_gas/ampd_gas.dat,-1,20,8,f,25228860,None,8.69
Memcpy,25228880,7802.29,ampd_water,6957.35,/colmajor/uint8-as-uint32/ampd_water/ampd_water.dat,-1,20,8,f,25228880,None,100.0
SIMDBP128,3158148,13950.21,ampd_water,12286.15,/colmajor/uint8-as-uint32/ampd_water/ampd_water.dat,-1,20,8,f,25228880,None,12.52
FastPFOR,2384624,1657.33,ampd_water,13445.66,/colmajor/uint8-as-uint32/ampd_water/ampd_water.dat,-1,20,8,f,25228880,None,9.45
Simple8B,2894932,3964.98,ampd_water,9959.16,/colmajor/uint8-as-uint32/ampd_water/ampd_water.dat,-1,20,8,f,25228880,None,11.47
Memcpy,96710400,7467.21,ampd_power,8411.22,/colmajor/uint8-as-uint32/ampd_power/ampd_power.dat,-1,20,8,f,96710400,None,100.0
SIMDBP128,10737088,13113.66,ampd_power,13108.4,/colmajor/uint8-as-uint32/ampd_power/ampd_power.dat,-1,20,8,f,96710400,None,11.1
FastPFOR,9956172,1901.07,ampd_power,11772.22,/colmajor/uint8-as-uint32/ampd_power/ampd_power.dat,-1,20,8,f,96710400,None,10.29
Simple8B,9961428,4507.07,ampd_power,10319.66,/colmajor/uint8-as-uint32/ampd_power/ampd_power.dat,-1,20,8,f,96710400,None,10.3
Memcpy,56806640,9054.98,msrc,10128.88,/rowmajor/uint8/msrc/msrc.dat,-1,20,8,c,56806640,None,100.0
SprintzDelta -80,11996784,654.02,msrc,4162.41,/rowmajor/uint8/msrc/msrc.dat,-1,20,8,c,56806640,None,21.12
SprintzXff -80,12288696,436.29,msrc,3095.95,/rowmajor/uint8/msrc/msrc.dat,-1,20,8,c,56806640,None,21.63
SprintzDelta_Huf -80,9478189,505.61,msrc,1476.32,/rowmajor/uint8/msrc/msrc.dat,-1,20,8,c,56806640,None,16.69
SprintzXff_Huf -80,9817210,342.28,msrc,1284.78,/rowmajor/uint8/msrc/msrc.dat,-1,20,8,c,56806640,None,17.28
Memcpy,96957832,7477.83,pamap,8314.58,/rowmajor/uint8/pamap/pamap.dat,-1,20,8,c,96957832,None,100.0
SprintzDelta -31,17267248,550.28,pamap,3899.33,/rowmajor/uint8/pamap/pamap.dat,-1,20,8,c,96957832,None,17.81
SprintzXff -31,17755641,372.13,pamap,3252.51,/rowmajor/uint8/pamap/pamap.dat,-1,20,8,c,96957832,None,18.31
SprintzDelta_Huf -31,11540238,433.8,pamap,1593.83,/rowmajor/uint8/pamap/pamap.dat,-1,20,8,c,96957832,None,11.9
SprintzXff_Huf -31,12130647,336.4,pamap,1400.41,/rowmajor/uint8/pamap/pamap.dat,-1,20,8,c,96957832,None,12.51
Memcpy,150961860,6908.73,uci_gas,7433.17,/rowmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,c,150961860,None,100.0
SprintzDelta -18,32364178,465.81,uci_gas,2497.68,/rowmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,c,150961860,None,21.44
SprintzXff -18,32831154,334.09,uci_gas,2034.21,/rowmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,c,150961860,None,21.75
SprintzDelta_Huf -18,22462720,410.87,uci_gas,1306.3,/rowmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,c,150961860,None,14.88
SprintzXff_Huf -18,22099539,310.65,uci_gas,1094.87,/rowmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,c,150961860,None,14.64
Memcpy,6307215,10752.45,ampd_gas,6198.49,/rowmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,c,6307215,None,100.0
SprintzDelta -3,461234,746.11,ampd_gas,2142.09,/rowmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,c,6307215,None,7.31
SprintzXff -3,477872,477.58,ampd_gas,878.92,/rowmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,c,6307215,None,7.58
SprintzDelta_Huf -3,139870,704.14,ampd_gas,1472.22,/rowmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,c,6307215,None,2.22
SprintzXff_Huf -3,233259,428.68,ampd_gas,870.06,/rowmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,c,6307215,None,3.7
Memcpy,6307220,5913.19,ampd_water,8375.02,/rowmajor/uint8/ampd_water/ampd_water.dat,-1,20,8,c,6307220,None,100.0
SprintzDelta -2,638056,728.34,ampd_water,1991.85,/rowmajor/uint8/ampd_water/ampd_water.dat,-1,20,8,c,6307220,None,10.12
SprintzXff -2,642686,429.3,ampd_water,614.15,/rowmajor/uint8/ampd_water/ampd_water.dat,-1,20,8,c,6307220,None,10.19
SprintzDelta_Huf -2,399262,570.77,ampd_water,1297.72,/rowmajor/uint8/ampd_water/ampd_water.dat,-1,20,8,c,6307220,None,6.33
SprintzXff_Huf -2,432958,378.19,ampd_water,536.17,/rowmajor/uint8/ampd_water/ampd_water.dat,-1,20,8,c,6307220,None,6.86
Memcpy,24177600,8144.12,ampd_power,8784.81,/rowmajor/uint8/ampd_power/ampd_power.dat,-1,20,8,c,24177600,None,100.0
SprintzDelta -23,6479593,538.0,ampd_power,3085.55,/rowmajor/uint8/ampd_power/ampd_power.dat,-1,20,8,c,24177600,None,26.8
SprintzXff -23,6522704,373.06,ampd_power,2501.4,/rowmajor/uint8/ampd_power/ampd_power.dat,-1,20,8,c,24177600,None,26.98
SprintzDelta_Huf -23,4336145,424.08,ampd_power,1318.8,/rowmajor/uint8/ampd_power/ampd_power.dat,-1,20,8,c,24177600,None,17.93
SprintzXff_Huf -23,4518030,313.82,ampd_power,1108.42,/rowmajor/uint8/ampd_power/ampd_power.dat,-1,20,8,c,24177600,None,18.69
Memcpy,56806640,9373.58,msrc,10254.96,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,100.0
Zstd -1,15318913,365.29,msrc,803.4,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,26.97
Zstd -9,12332908,52.52,msrc,855.63,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,21.71
Snappy,19366230,516.54,msrc,1220.65,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,34.09
LZO -1,19465172,621.89,msrc,600.91,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,34.27
LZO -9,19465172,613.87,msrc,599.32,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,34.27
LZ4,20155041,646.2,msrc,2233.54,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,35.48
Zlib -1,14465817,116.58,msrc,360.72,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,25.47
Zlib -9,12299101,10.04,msrc,372.77,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,21.65
Huffman,32862112,931.49,msrc,1037.54,/colmajor/uint8/msrc/msrc.dat,-1,20,8,f,56806640,None,57.85
Memcpy,96957832,8717.98,pamap,8082.12,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,100.0
Zstd -1,13427604,513.86,pamap,973.23,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,13.85
Zstd -9,11630024,79.18,pamap,1110.57,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,11.99
Snappy,21255057,698.83,pamap,1466.72,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,21.92
LZO -1,21094509,908.21,pamap,813.54,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,21.76
LZO -9,21094509,931.87,pamap,814.32,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,21.76
LZ4,22370835,908.73,pamap,2453.28,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,23.07
Zlib -1,14968406,162.98,pamap,476.17,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,15.44
Zlib -9,11127605,4.16,pamap,506.89,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,11.48
Huffman,40550240,836.67,pamap,1019.34,/colmajor/uint8/pamap/pamap.dat,-1,20,8,f,96957832,None,41.82
Memcpy,150961860,7985.7,uci_gas,7497.12,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,100.0
Zstd -1,26315575,375.64,uci_gas,733.88,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,17.43
Zstd -9,21770445,59.22,uci_gas,953.04,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,14.42
Snappy,39783580,551.31,uci_gas,1100.19,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,26.35
LZO -1,40238675,752.55,uci_gas,664.48,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,26.65
LZO -9,40238675,765.72,uci_gas,667.27,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,26.65
LZ4,44411728,761.59,uci_gas,1928.47,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,29.42
Zlib -1,24756230,128.87,uci_gas,395.58,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,16.4
Zlib -9,21206689,4.02,uci_gas,436.88,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,14.05
Huffman,80631273,847.26,uci_gas,914.33,/colmajor/uint8/uci_gas/uci_gas.dat,-1,20,8,f,150961860,None,53.41
Memcpy,6307215,5590.17,ampd_gas,2613.03,/colmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,f,6307215,None,100.0
Zstd -1,90002,2395.11,ampd_gas,2253.82,/colmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,f,6307215,None,1.43
Zstd -9,72767,418.96,ampd_gas,3055.55,/colmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,f,6307215,None,1.15
Snappy,398464,2734.63,ampd_gas,2361.75,/colmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,f,6307215,None,6.32
LZO -1,190097,3211.86,ampd_gas,907.66,/colmajor/uint8/ampd_gas/ampd_gas.dat,-1,20,8,f,6307215,None,3.01
