Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
Memcpy,200000000,7632.41,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,7363.33,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,100.0
SprintzXff_Huf_16b -1,63489808,360.12,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,426.97,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,31.74
SprintzXff_Huf_16b -2,63570366,394.07,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,533.25,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,31.79
SprintzXff_Huf_16b -3,65956241,368.55,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,622.04,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,32.98
SprintzXff_Huf_16b -4,69776704,393.6,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,689.48,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,34.89
SprintzXff_Huf_16b -5,69088658,334.7,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,728.39,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,34.54
SprintzXff_Huf_16b -6,66681536,375.21,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,807.95,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,33.34
SprintzXff_Huf_16b -7,68822217,371.48,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,865.7,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,34.41
SprintzXff_Huf_16b -8,64883291,418.58,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,992.38,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,32.44
SprintzXff_Huf_16b -9,66842220,379.64,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,933.83,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,33.42
SprintzXff_Huf_16b -10,67289364,386.24,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=4.dat,992.32,False,/synthetic/synth_100M_u16_ratio=4.dat,-1,10,16,c,200000000,33.64
