Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
Memcpy,200000000,7497.27,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,7635.21,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -60,200000003,2723.88,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2646.27,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -61,200000003,2804.9,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2750.78,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -62,200000003,2774.61,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2785.36,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -63,200000003,2788.34,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2771.67,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -64,200000003,2793.29,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2845.41,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -65,200000003,2760.14,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2663.72,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -66,200000003,2725.71,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2702.04,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -67,200000003,2735.49,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2693.01,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -68,200000003,2760.6,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2699.39,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -69,200000003,2757.31,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2693.7,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -70,200000003,2725.65,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2731.49,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -71,200000003,2734.72,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2639.67,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
Delta_16b -72,200000003,2724.26,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2673.83,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,16,c,200000000,100.0
