Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,112695,25595.05,ucr,24850.05,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,100.0
Zstd -1,64204,111.17,ucr,239.54,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,56.97
Zstd -9,44693,12.38,ucr,384.36,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,39.66
Snappy,76591,112.63,ucr,422.03,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,67.96
LZO -1,81294,141.94,ucr,205.06,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,72.14
LZO -9,81294,148.81,ucr,205.47,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,72.14
LZ4,73875,139.96,ucr,960.48,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,65.55
Zlib -1,54400,32.48,ucr,164.43,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,48.27
Zlib -9,45857,14.57,ucr,190.61,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,40.69
Huffman,107491,434.93,ucr,444.85,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,None,95.38
Zstd -1,69377,89.2,ucr,255.97,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,None,61.29
Zstd -9,57618,12.79,ucr,330.99,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,None,50.9
Snappy,87485,179.49,ucr,577.25,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,None,77.28
LZO -1,89040,141.03,ucr,219.58,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,None,78.66
LZO -9,89040,140.68,ucr,212.9,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,None,78.66
LZ4,91314,169.85,ucr,826.34,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,None,80.66
Zlib -1,64055,28.38,ucr,144.36,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,None,56.58
Zlib -9,58087,10.22,ucr,144.17,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,None,51.31
Huffman,83559,451.02,ucr,606.44,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,None,73.81
Zstd -1,236102,229.25,ucr,537.52,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,None,20.99
Zstd -9,191631,46.14,ucr,687.91,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,None,17.04
Snappy,348520,312.39,ucr,809.96,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,None,30.99
LZO -1,364271,361.54,ucr,444.92,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,None,32.39
LZO -9,364271,361.16,ucr,446.4,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,None,32.39
LZ4,353495,364.93,ucr,1317.88,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,None,31.43
Zlib -1,273328,101.55,ucr,294.73,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,None,24.3
Zlib -9,205605,7.2,ucr,365.36,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,None,18.28
Huffman,754867,515.65,ucr,646.65,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,None,67.11
Zstd -1,154309,143.19,ucr,398.22,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,None,66.09
Zstd -9,114382,17.58,ucr,350.1,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,None,48.99
Snappy,196499,128.4,ucr,413.83,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,None,84.16
LZO -1,205428,180.43,ucr,300.48,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,None,87.98
LZO -9,205428,181.88,ucr,297.4,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,None,87.98
LZ4,200818,221.55,ucr,1095.12,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,None,86.01
Zlib -1,142248,33.07,ucr,145.75,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,None,60.92
Zlib -9,134536,16.63,ucr,145.06,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,None,57.62
