Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,225390,654.3,ucr,734.11,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,0,16,f,225390,FIRE,100.0
Snappy,205412,205.31,ucr,342.11,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,0,16,f,225390,FIRE,91.14
Snappy,225798,365.63,ucr,467.52,/colmajor/uint16/ucr/MoteStrain.dat,-1,0,16,f,226406,FIRE,99.73
Snappy,1213780,193.59,ucr,282.85,/colmajor/uint16/ucr/wafer.dat,-1,0,16,f,2249486,FIRE,53.96
Snappy,462041,279.65,ucr,371.41,/colmajor/uint16/ucr/Worms.dat,-1,0,16,f,466970,FIRE,98.94
Snappy,129313,330.53,ucr,337.54,/colmajor/uint16/ucr/ProximalPhalanxOutlineCorrect.dat,-1,0,16,f,151460,FIRE,85.38
Snappy,62576,457.82,ucr,315.14,/colmajor/uint16/ucr/Plane.dat,-1,0,16,f,62570,FIRE,100.01
Snappy,131784,304.84,ucr,422.02,/colmajor/uint16/ucr/DistalPhalanxOutlineCorrect.dat,-1,0,16,f,148910,FIRE,88.5
Snappy,151154,372.16,ucr,477.15,/colmajor/uint16/ucr/ToeSegmentation1.dat,-1,0,16,f,151142,FIRE,100.01
Snappy,486823,264.54,ucr,323.16,/colmajor/uint16/ucr/WordsSynonyms.dat,-1,0,16,f,497740,FIRE,97.81
Snappy,1545582,268.5,ucr,352.34,/colmajor/uint16/ucr/ElectricDevices.dat,-1,0,16,f,3360664,FIRE,45.99
Snappy,32588,793.93,ucr,448.66,/colmajor/uint16/ucr/Coffee.dat,-1,0,16,f,32582,FIRE,100.02
Snappy,113573,427.26,ucr,551.97,/colmajor/uint16/ucr/ToeSegmentation2.dat,-1,0,16,f,115526,FIRE,98.31
Snappy,997490,442.4,ucr,403.84,/colmajor/uint16/ucr/Haptics.dat,-1,0,16,f,1015812,FIRE,98.2
Snappy,9261027,189.75,ucr,299.86,/colmajor/uint16/ucr/StarLightCurves.dat,-1,0,16,f,19007678,FIRE,48.72
Snappy,177013,334.96,ucr,298.02,/colmajor/uint16/ucr/ScreenType.dat,-1,0,16,f,1087490,FIRE,16.28
Snappy,4027057,185.74,ucr,314.67,/colmajor/uint16/ucr/MALLAT.dat,-1,0,16,f,4939190,FIRE,81.53
Snappy,132659,339.25,ucr,367.79,/colmajor/uint16/ucr/Lighting2.dat,-1,0,16,f,155354,FIRE,85.39
Snappy,299258,423.41,ucr,122.79,/colmajor/uint16/ucr/SwedishLeaf.dat,-1,0,16,f,299240,FIRE,100.01
Snappy,4490653,527.61,ucr,561.23,/colmajor/uint16/ucr/FordB.dat,-1,0,16,f,4490450,FIRE,100.0
