Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Preprocs,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
Memcpy,225390,22889.21,ucr,22593.22,None,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,5,16,f,225390,100.0
Zstd -1,225405,718.06,ucr,11521.83,None,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,5,16,f,225390,100.01
Zstd -9,225405,80.98,ucr,17352.38,None,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,5,16,f,225390,100.01
Snappy,225405,3530.27,ucr,14256.17,None,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,5,16,f,225390,100.01
LZ4,226275,2700.7,ucr,18310.99,None,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,5,16,f,225390,100.39
Zlib -1,220621,29.17,ucr,239.21,None,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,5,16,f,225390,97.88
Zlib -9,223075,27.96,ucr,254.34,None,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,5,16,f,225390,98.97
Huffman,225406,1209.67,ucr,13159.92,None,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,5,16,f,225390,100.01
Zstd -1,209695,281.91,ucr,498.93,None,/colmajor/uint16/ucr/MoteStrain.dat,-1,5,16,f,226406,92.62
Zstd -9,208638,57.58,ucr,528.95,None,/colmajor/uint16/ucr/MoteStrain.dat,-1,5,16,f,226406,92.15
Snappy,226399,3637.86,ucr,15787.32,None,/colmajor/uint16/ucr/MoteStrain.dat,-1,5,16,f,226406,100.0
LZ4,225752,1370.77,ucr,8806.83,None,/colmajor/uint16/ucr/MoteStrain.dat,-1,5,16,f,226406,99.71
Zlib -1,206742,28.96,ucr,167.42,None,/colmajor/uint16/ucr/MoteStrain.dat,-1,5,16,f,226406,91.31
Zlib -9,208511,28.41,ucr,242.29,None,/colmajor/uint16/ucr/MoteStrain.dat,-1,5,16,f,226406,92.1
Huffman,211551,788.44,ucr,537.26,None,/colmajor/uint16/ucr/MoteStrain.dat,-1,5,16,f,226406,93.44
Zstd -1,1120681,220.33,ucr,542.71,None,/colmajor/uint16/ucr/wafer.dat,-1,5,16,f,2249486,49.82
Zstd -9,979456,25.11,ucr,406.73,None,/colmajor/uint16/ucr/wafer.dat,-1,5,16,f,2249486,43.54
Snappy,1334843,368.29,ucr,848.76,None,/colmajor/uint16/ucr/wafer.dat,-1,5,16,f,2249486,59.34
LZ4,1325125,386.86,ucr,1608.44,None,/colmajor/uint16/ucr/wafer.dat,-1,5,16,f,2249486,58.91
Zlib -1,1037021,59.81,ucr,224.49,None,/colmajor/uint16/ucr/wafer.dat,-1,5,16,f,2249486,46.1
Zlib -9,971796,29.02,ucr,252.24,None,/colmajor/uint16/ucr/wafer.dat,-1,5,16,f,2249486,43.2
Huffman,2040774,732.31,ucr,534.87,None,/colmajor/uint16/ucr/wafer.dat,-1,5,16,f,2249486,90.72
Zstd -1,411549,516.94,ucr,479.51,None,/colmajor/uint16/ucr/Worms.dat,-1,5,16,f,466970,88.13
Zstd -9,388462,63.26,ucr,627.13,None,/colmajor/uint16/ucr/Worms.dat,-1,5,16,f,466970,83.19
Snappy,466900,4037.23,ucr,6256.13,None,/colmajor/uint16/ucr/Worms.dat,-1,5,16,f,466970,99.99
LZ4,468790,2579.93,ucr,6827.45,None,/colmajor/uint16/ucr/Worms.dat,-1,5,16,f,466970,100.39
Zlib -1,417491,26.68,ucr,183.7,None,/colmajor/uint16/ucr/Worms.dat,-1,5,16,f,466970,89.4
Zlib -9,416409,26.72,ucr,196.24,None,/colmajor/uint16/ucr/Worms.dat,-1,5,16,f,466970,89.17
Huffman,451545,537.71,ucr,464.13,None,/colmajor/uint16/ucr/Worms.dat,-1,5,16,f,466970,96.7
Zstd -1,142288,276.17,ucr,487.28,None,/colmajor/uint16/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,16,f,151460,93.94
Zstd -9,125117,66.26,ucr,2887.76,None,/colmajor/uint16/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,16,f,151460,82.61
Snappy,134304,1629.36,ucr,5108.78,None,/colmajor/uint16/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,16,f,151460,88.67
LZ4,127005,931.32,ucr,4103.05,None,/colmajor/uint16/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,16,f,151460,83.85
Zlib -1,124319,31.7,ucr,211.26,None,/colmajor/uint16/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,16,f,151460,82.08
Zlib -9,124237,32.42,ucr,310.84,None,/colmajor/uint16/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,16,f,151460,82.03
Huffman,147798,585.47,ucr,652.57,None,/colmajor/uint16/ucr/ProximalPhalanxOutlineCorrect.dat,-1,5,16,f,151460,97.58
Zstd -1,62580,850.04,ucr,17635.29,None,/colmajor/uint16/ucr/Plane.dat,-1,5,16,f,62570,100.02
Zstd -9,62580,182.55,ucr,12461.66,None,/colmajor/uint16/ucr/Plane.dat,-1,5,16,f,62570,100.02
Snappy,62576,5045.15,ucr,13361.09,None,/colmajor/uint16/ucr/Plane.dat,-1,5,16,f,62570,100.01
LZ4,62817,4936.88,ucr,18042.1,None,/colmajor/uint16/ucr/Plane.dat,-1,5,16,f,62570,100.39
Zlib -1,62412,31.29,ucr,179.88,None,/colmajor/uint16/ucr/Plane.dat,-1,5,16,f,62570,99.75
